Date,Page Title,Age,Gender,Source / Medium,Pageviews,Unique Pageviews
20190611,The 12 Best Brands for Wardrobe Basics Over 50 | Who What Wear,45-54,female,newsletter / email,5999,4710
20190620,How to Wear Crop Tops With Jeans | Who What Wear,25-34,female,m.facebook.com / referral,5997,4127
20190617,Fashion Essentials to See You Through Summer | Who What Wear,35-44,female,newsletter / email,5991,4872
20190625,Meghan Markle Updated Her Engagement Ringâ€”See the Photos | Who What Wear,55-64,female,from.flipboard.com / referral,5978,3793
20190604,"The High Street's Best Summer Mini, Midi and Maxi Dresses | Who What Wear",25-34,female,m.facebook.com / referral,5896,4965
20190621,6 Items an Over-50 Fashion Influencer Wears on Repeat | Who What Wear,25-34,female,newsletter / email,5868,4389
20190609,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,35-44,female,m.facebook.com / referral,5843,5070
20190626,How to Wear Crop Tops With Jeans | Who What Wear,25-34,female,m.facebook.com / referral,5837,4002
20190621,The Best Miami Summer Trends for Under $100 | Who What Wear,35-44,female,m.facebook.com / referral,5831,4953
20190604,5 Summer Dress Trends That Will Be Everywhere This Season | Who What Wear,25-34,female,google / organic,5814,4881
20190612,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,m.facebook.com / referral,5799,5239
20190614,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,55-64,female,m.facebook.com / referral,5771,5280
20190605,The Worst Poses to Strike in Photos (and How to Make Them Better) | Who What Wear,35-44,female,m.facebook.com / referral,5760,4509
20190611,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,5760,5233
20190605,6 Summer Trends That Have Anna Wintour's Approval | Who What Wear,55-64,female,newsletter / email,5729,4642
20190624,5 Outdated Spring Fashion Trendsâ€”and Their Successors | Who What Wear,35-44,female,newsletter / email,5727,4743
20190602,These Stylish Summer Outfits Are Surprisingly Affordable | Who What Wear,18-24,female,m.facebook.com / referral,5715,4780
20190606,How to Become a Morning Person | TheThirty,25-34,female,m.facebook.com / referral,5709,5034
20190607,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,25-34,female,m.facebook.com / referral,5689,4846
20190618,Affordable Summer Fashion Trends From a Chic Houston Blogger | Who What Wear,25-34,female,m.facebook.com / referral,5642,4817
20190617,"The 16 Top Fashion Brands, According to Editors | Who What Wear",25-34,female,google / organic,5615,4597
20190624,5 Outdated Spring Fashion Trendsâ€”and Their Successors | Who What Wear,55-64,female,newsletter / email,5597,4526
20190622,"The 16 Best Fashion and Beauty Items at Target, Hands Down | Who What Wear",45-54,female,newsletter / email,5587,4419
20190628,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,5562,4749
20190602,The 12 Best Amazon Finds for Your Home | Who What Wear,45-54,female,from.flipboard.com / referral,5476,4022
20190603,6 Clothing Basics Women Over 50 Never Forget to Buy | Who What Wear,25-34,female,newsletter / email,5473,4331
20190619,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,55-64,female,m.facebook.com / referral,5469,4742
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,35-44,female,popsugar / facebook,5462,4795
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,facebook.com / social,5448,4826
20190609,The Only 31 Zara Items NYC Girls Are Buying This Summer | Who What Wear,35-44,female,newsletter / email,5419,4602
20190614,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,25-34,female,m.facebook.com / referral,5409,4950
20190617,The French Beauty Products Women Over 50 Love | Who What Wear,45-54,female,from.flipboard.com / referral,5388,4386
20190612,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,facebook.com / social,5387,4636
20190606,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,35-44,female,m.facebook.com / referral,5385,4859
20190625,"33 Items New York Girls Buy From H&M, Topshop, and ASOS | Who What Wear",45-54,female,newsletter / email,5373,4464
20190625,The Best Miami Summer Trends for Under $100 | Who What Wear,35-44,female,m.facebook.com / referral,5369,4585
20190624,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,25-34,female,news.google.com / referral,5337,4564
20190626,These Are the 19 Best Skincare Products for Women Over 50 | Who What Wear,55-64,female,from.flipboard.com / referral,5329,4029
20190627,4 Things to Pack for Backpackingâ€”and What to Leave at Home | Who What Wear,45-54,male,from.flipboard.com / referral,5328,4572
20190624,Meghan Markle Updated Her Engagement Ringâ€”See the Photos | Who What Wear,25-34,female,likeshop.me / referral,5323,3758
20190611,The 12 Best Brands for Wardrobe Basics Over 50 | Who What Wear,25-34,female,newsletter / email,5318,4181
